sample_id,d_DIM_0002,BEAM_TO_SURFACE_distance,BEAM_SURFACE_ALIGNMENT_delta_x,BEAM_SURFACE_ALIGNMENT_delta_y,BEAM_SURFACE_ALIGNMENT_delta_z,BEAM_SURFACE_ALIGNMENT_delta_rx,BEAM_SURFACE_ALIGNMENT_delta_ry,BEAM_SURFACE_ALIGNMENT_delta_rz,CENTER_TO_NORTH_EDGE_distance,CENTER_TO_EAST_EDGE_distance,NORTH_TO_SOUTH_TILT_delta_x,NORTH_TO_SOUTH_TILT_delta_y,NORTH_TO_SOUTH_TILT_delta_z,EAST_TO_WEST_TILT_delta_x,EAST_TO_WEST_TILT_delta_y,EAST_TO_WEST_TILT_delta_z
0,6.351007308557518,6.351007308557518,0.0,0.0,6.351007308557518,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
1,6.349003475378935,6.349003475378935,0.0,0.0,6.349003475378935,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
2,6.34955265316686,6.34955265316686,0.0,0.0,6.34955265316686,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
3,6.350084620020024,6.350084620020024,0.0,0.0,6.350084620020024,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
4,6.349519574436654,6.349519574436654,0.0,0.0,6.349519574436654,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
5,6.350623198540553,6.350623198540553,0.0,0.0,6.350623198540553,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
6,6.349426404334782,6.349426404334782,0.0,0.0,6.349426404334782,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
7,6.350092243017782,6.350092243017782,0.0,0.0,6.350092243017782,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
8,6.349689894880982,6.349689894880982,0.0,0.0,6.349689894880982,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
9,6.348723812586917,6.348723812586917,0.0,0.0,6.348723812586917,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
10,6.350262421265431,6.350262421265431,0.0,0.0,6.350262421265431,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
11,6.349037214907178,6.349037214907178,0.0,0.0,6.349037214907178,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
12,6.350541312229247,6.350541312229247,0.0,0.0,6.350541312229247,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
13,6.349974635875712,6.349974635875712,0.0,0.0,6.349974635875712,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
14,6.3500163924217174,6.3500163924217174,0.0,0.0,6.3500163924217174,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
15,6.348975888973912,6.348975888973912,0.0,0.0,6.348975888973912,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
16,6.349119889381651,6.349119889381651,0.0,0.0,6.349119889381651,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
17,6.349951327098168,6.349951327098168,0.0,0.0,6.349951327098168,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
18,6.350158323697356,6.350158323697356,0.0,0.0,6.350158323697356,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
19,6.348677827595783,6.348677827595783,0.0,0.0,6.348677827595783,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
20,6.350068183053068,6.350068183053068,0.0,0.0,6.350068183053068,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
21,6.350358132203461,6.350358132203461,0.0,0.0,6.350358132203461,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
22,6.35063114724787,6.35063114724787,0.0,0.0,6.35063114724787,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
23,6.351272488618499,6.351272488618499,0.0,0.0,6.351272488618499,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
24,6.349955354554979,6.349955354554979,0.0,0.0,6.349955354554979,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
25,6.349822999203176,6.349822999203176,0.0,0.0,6.349822999203176,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
26,6.349768511405669,6.349768511405669,0.0,0.0,6.349768511405669,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
27,6.349489386025453,6.349489386025453,0.0,0.0,6.349489386025453,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
28,6.350482975773308,6.350482975773308,0.0,0.0,6.350482975773308,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
29,6.351215558180189,6.351215558180189,0.0,0.0,6.351215558180189,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
30,6.350773643839317,6.350773643839317,0.0,0.0,6.350773643839317,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
